EXAM SEATING ARRANGEMENT

(4961, 'ECE0100', 'A', 'A1', 1, 1)
(5077, 'ECE0345', 'A', 'A3', 10, 1)
(5078, 'CSE0047', 'A', 'A3', 10, 2)
(5079, 'ECE0171', 'A', 'A3', 10, 3)
(5080, 'ECE0105', 'A', 'A3', 10, 4)
(5081, 'CSE0681', 'A', 'A4', 1, 1)
(5082, 'ECE0259', 'A', 'A4', 1, 2)
(5083, 'ECE0365', 'A', 'A4', 1, 3)
(5084, 'CSE0400', 'A', 'A4', 1, 4)
(5085, 'CSE0194', 'A', 'A4', 2, 1)
(5086, 'ECE0295', 'A', 'A4', 2, 2)
(5087, 'ECE0034', 'A', 'A4', 2, 3)
(5088, 'ECE0202', 'A', 'A4', 2, 4)
(5089, 'CSE0050', 'A', 'A4', 3, 1)
(5090, 'CSE0197', 'A', 'A4', 3, 2)
(5091, 'ECE0026', 'A', 'A4', 3, 3)
(5092, 'CSE0134', 'A', 'A4', 3, 4)
(5093, 'ECE0276', 'A', 'A4', 4, 1)
(5094, 'CSE0241', 'A', 'A4', 4, 2)
(5095, 'CSE0062', 'A', 'A4', 4, 3)
(5096, 'CSE0060', 'A', 'A4', 4, 4)
(5097, 'CSE0409', 'A', 'A4', 5, 1)
(5098, 'CSE0637', 'A', 'A4', 5, 2)
(5099, 'ECE0493', 'A', 'A4', 5, 3)
(5100, 'CSE0052', 'A', 'A4', 5, 4)
(5101, 'CSE0018', 'A', 'A4', 6, 1)
(5102, 'ECE0296', 'A', 'A4', 6, 2)
(5103, 'CSE0227', 'A', 'A4', 6, 3)
(5104, 'CSE0343', 'A', 'A4', 6, 4)
(5105, 'ECE0283', 'A', 'A4', 7, 1)
(5106, 'CSE0216', 'A', 'A4', 7, 2)
(5107, 'ECE0207', 'A', 'A4', 7, 3)
(5108, 'ECE0267', 'A', 'A4', 7, 4)
(5109, 'CSE0553', 'A', 'A4', 8, 1)
(5110, 'ECE0163', 'A', 'A4', 8, 2)
(5111, 'ECE0147', 'A', 'A4', 8, 3)
(5112, 'CSE0442', 'A', 'A4', 8, 4)
(5113, 'ECE0138', 'A', 'A4', 9, 1)
(5114, 'CSE0622', 'A', 'A4', 9, 2)
(5115, 'CSE0334', 'A', 'A4', 9, 3)
(5116, 'CSE0658', 'A', 'A4', 9, 4)
(5117, 'CSE0226', 'A', 'A4', 10, 1)
(5118, 'CSE0166', 'A', 'A4', 10, 2)
(5119, 'CSE0614', 'A', 'A4', 10, 3)
(5120, 'CSE0408', 'A', 'A4', 10, 4)
(5121, 'CSE0354', 'A', 'A5', 1, 1)
(5122, 'ECE0236', 'A', 'A5', 1, 2)
(5123, 'CSE0542', 'A', 'A5', 1, 3)
(5124, 'ECE0247', 'A', 'A5', 1, 4)
(5125, 'ECE0427', 'A', 'A5', 2, 1)
(5126, 'ECE0031', 'A', 'A5', 2, 2)
(5127, 'ECE0047', 'A', 'A5', 2, 3)
(5128, 'ECE0344', 'A', 'A5', 2, 4)
(5129, 'ECE0042', 'A', 'A5', 3, 1)
(5130, 'ECE0019', 'A', 'A5', 3, 2)
(5131, 'CSE0012', 'A', 'A5', 3, 3)
(5132, 'CSE0094', 'A', 'A5', 3, 4)
(5133, 'CSE0311', 'A', 'A5', 4, 1)
(5134, 'CSE0204', 'A', 'A5', 4, 2)
(5135, 'CSE0546', 'A', 'A5', 4, 3)
(5136, 'CSE0551', 'A', 'A5', 4, 4)
(5137, 'ECE0045', 'A', 'A5', 5, 1)
(5138, 'CSE0411', 'A', 'A5', 5, 2)
(5139, 'CSE0101', 'A', 'A5', 5, 3)
(5140, 'ECE0029', 'A', 'A5', 5, 4)
(5141, 'ECE0457', 'A', 'A5', 6, 1)
(5142, 'CSE0467', 'A', 'A5', 6, 2)
(5143, 'ECE0254', 'A', 'A5', 6, 3)
(5144, 'ECE0384', 'A', 'A5', 6, 4)
(5145, 'ECE0201', 'A', 'A5', 7, 1)
(5146, 'CSE0275', 'A', 'A5', 7, 2)
(5147, 'ECE0103', 'A', 'A5', 7, 3)
(5148, 'CSE0562', 'A', 'A5', 7, 4)
(5149, 'ECE0075', 'A', 'A5', 8, 1)
(5150, 'ECE0426', 'A', 'A5', 8, 2)
(5151, 'ECE0229', 'A', 'A5', 8, 3)
(5152, 'ECE0392', 'A', 'A5', 8, 4)
(5153, 'CSE0020', 'A', 'A5', 9, 1)
(5154, 'CSE0381', 'A', 'A5', 9, 2)
(5155, 'ECE0432', 'A', 'A5', 9, 3)
(5156, 'CSE0156', 'A', 'A5', 9, 4)
(5157, 'CSE0534', 'A', 'A5', 10, 1)
(5158, 'ECE0356', 'A', 'A5', 10, 2)
(5159, 'ECE0417', 'A', 'A5', 10, 3)
(5160, 'CSE0461', 'A', 'A5', 10, 4)
(5161, 'ECE0373', 'A', 'A6', 1, 1)
(5162, 'CSE0337', 'A', 'A6', 1, 2)
(5163, 'CSE0418', 'A', 'A6', 1, 3)
(5164, 'CSE0565', 'A', 'A6', 1, 4)
(5165, 'CSE0067', 'A', 'A6', 2, 1)
(5166, 'ECE0157', 'A', 'A6', 2, 2)
(5167, 'CSE0441', 'A', 'A6', 2, 3)
(5168, 'ECE0168', 'A', 'A6', 2, 4)
(5169, 'ECE0166', 'A', 'A6', 3, 1)
(5170, 'CSE0024', 'A', 'A6', 3, 2)
(5171, 'CSE0606', 'A', 'A6', 3, 3)
(5172, 'ECE0423', 'A', 'A6', 3, 4)
(5173, 'CSE0075', 'A', 'A6', 4, 1)
(5174, 'ECE0324', 'A', 'A6', 4, 2)
(5175, 'CSE0265', 'A', 'A6', 4, 3)
(5176, 'CSE0536', 'A', 'A6', 4, 4)
(5177, 'CSE0691', 'A', 'A6', 5, 1)
(5178, 'CSE0582', 'A', 'A6', 5, 2)
(5179, 'CSE0556', 'A', 'A6', 5, 3)
(5180, 'ECE0430', 'A', 'A6', 5, 4)
(5181, 'CSE0010', 'A', 'A6', 6, 1)
(5182, 'ECE0150', 'A', 'A6', 6, 2)
(5183, 'CSE0091', 'A', 'A6', 6, 3)
(5184, 'CSE0238', 'A', 'A6', 6, 4)
(5185, 'CSE0585', 'A', 'A6', 7, 1)
(5186, 'ECE0158', 'A', 'A6', 7, 2)
(5187, 'ECE0453', 'A', 'A6', 7, 3)
(5188, 'CSE0652', 'A', 'A6', 7, 4)
(5189, 'ECE0032', 'A', 'A6', 8, 1)
(5190, 'CSE0473', 'A', 'A6', 8, 2)
(5191, 'CSE0017', 'A', 'A6', 8, 3)
(5192, 'CSE0686', 'A', 'A6', 8, 4)
(5193, 'ECE0483', 'A', 'A6', 9, 1)
(5194, 'ECE0350', 'A', 'A6', 9, 2)
(5195, 'CSE0396', 'A', 'A6', 9, 3)
(5196, 'ECE0367', 'A', 'A6', 9, 4)
(5197, 'ECE0123', 'A', 'A6', 10, 1)
(5198, 'CSE0403', 'A', 'A6', 10, 2)
(5199, 'ECE0388', 'A', 'A6', 10, 3)
(5200, 'ECE0115', 'A', 'A6', 10, 4)
(5201, 'ECE0149', 'A', 'A7', 1, 1)
(5202, 'CSE0302', 'A', 'A7', 1, 2)
(5203, 'ECE0020', 'A', 'A7', 1, 3)
(5204, 'CSE0356', 'A', 'A7', 1, 4)
(5205, 'CSE0320', 'A', 'A7', 2, 1)
(5206, 'CSE0350', 'A', 'A7', 2, 2)
(5207, 'ECE0074', 'A', 'A7', 2, 3)
(5208, 'CSE0635', 'A', 'A7', 2, 4)
(5209, 'CSE0433', 'A', 'A7', 3, 1)
(5210, 'ECE0024', 'A', 'A7', 3, 2)
(5211, 'ECE0248', 'A', 'A7', 3, 3)
(5212, 'CSE0468', 'A', 'A7', 3, 4)
(5213, 'ECE0260', 'A', 'A7', 4, 1)
(5214, 'ECE0131', 'A', 'A7', 4, 2)
(5215, 'CSE0437', 'A', 'A7', 4, 3)
(5216, 'CSE0618', 'A', 'A7', 4, 4)
(5217, 'ECE0161', 'A', 'A7', 5, 1)
(5218, 'CSE0082', 'A', 'A7', 5, 2)
(5219, 'CSE0504', 'A', 'A7', 5, 3)
(5220, 'CSE0109', 'A', 'A7', 5, 4)
(5221, 'CSE0093', 'A', 'A7', 6, 1)
(5222, 'CSE0669', 'A', 'A7', 6, 2)
(5223, 'CSE0033', 'A', 'A7', 6, 3)
(5224, 'CSE0390', 'A', 'A7', 6, 4)
(5225, 'ECE0489', 'A', 'A7', 7, 1)
(5226, 'ECE0381', 'A', 'A7', 7, 2)
(5227, 'CSE0421', 'A', 'A7', 7, 3)
(5228, 'ECE0226', 'A', 'A7', 7, 4)
(5229, 'CSE0578', 'A', 'A7', 8, 1)
(5230, 'CSE0482', 'A', 'A7', 8, 2)
(5231, 'ECE0393', 'A', 'A7', 8, 3)
(5232, 'ECE0475', 'A', 'A7', 8, 4)
(5233, 'ECE0208', 'A', 'A7', 9, 1)
(5234, 'ECE0225', 'A', 'A7', 9, 2)
(5235, 'CSE0292', 'A', 'A7', 9, 3)
(5236, 'ECE0243', 'A', 'A7', 9, 4)
(5237, 'CSE0425', 'A', 'A7', 10, 1)
(5238, 'ECE0044', 'A', 'A7', 10, 2)
(5239, 'ECE0282', 'A', 'A7', 10, 3)
(5240, 'ECE0125', 'A', 'A7', 10, 4)
(5241, 'ECE0127', 'A', 'A8', 1, 1)
(5242, 'ECE0396', 'A', 'A8', 1, 2)
(5243, 'CSE0070', 'A', 'A8', 1, 3)
(5244, 'ECE0220', 'A', 'A8', 1, 4)
(5245, 'ECE0302', 'A', 'A8', 2, 1)
(5246, 'ECE0085', 'A', 'A8', 2, 2)
(5247, 'ECE0135', 'A', 'A8', 2, 3)
(5248, 'CSE0003', 'A', 'A8', 2, 4)
(5249, 'ECE0063', 'A', 'A8', 3, 1)
(5250, 'CSE0196', 'A', 'A8', 3, 2)
(5251, 'ECE0494', 'A', 'A8', 3, 3)
(5252, 'ECE0170', 'A', 'A8', 3, 4)
(5253, 'CSE0351', 'A', 'A8', 4, 1)
(5254, 'ECE0285', 'A', 'A8', 4, 2)
(5255, 'CSE0064', 'A', 'A8', 4, 3)
(5256, 'CSE0076', 'A', 'A8', 4, 4)
(5257, 'CSE0096', 'A', 'A8', 5, 1)
(5258, 'ECE0294', 'A', 'A8', 5, 2)
(5259, 'ECE0335', 'A', 'A8', 5, 3)
(5260, 'CSE0459', 'A', 'A8', 5, 4)
(5261, 'ECE0178', 'A', 'A8', 6, 1)
(5262, 'ECE0186', 'A', 'A8', 6, 2)
(5263, 'CSE0593', 'A', 'A8', 6, 3)
(5264, 'CSE0268', 'A', 'A8', 6, 4)
(5265, 'ECE0421', 'A', 'A8', 7, 1)
(5266, 'CSE0478', 'A', 'A8', 7, 2)
(5267, 'ECE0228', 'A', 'A8', 7, 3)
(5268, 'CSE0066', 'A', 'A8', 7, 4)
(5269, 'CSE0186', 'A', 'A8', 8, 1)
(5270, 'ECE0004', 'A', 'A8', 8, 2)
(5271, 'CSE0670', 'A', 'A8', 8, 3)
(5272, 'ECE0001', 'A', 'A8', 8, 4)
(5273, 'CSE0295', 'A', 'A8', 9, 1)
(5274, 'CSE0530', 'A', 'A8', 9, 2)
(5275, 'CSE0202', 'A', 'A8', 9, 3)
(5276, 'CSE0160', 'A', 'A8', 9, 4)
(5277, 'ECE0054', 'A', 'A8', 10, 1)
(5278, 'ECE0011', 'A', 'A8', 10, 2)
(5279, 'CSE0366', 'A', 'A8', 10, 3)
(5280, 'ECE0221', 'A', 'A8', 10, 4)
(5281, 'ECE0469', 'A', 'A9', 1, 1)
(5282, 'CSE0512', 'A', 'A9', 1, 2)
(5283, 'CSE0560', 'A', 'A9', 1, 3)
(5284, 'ECE0139', 'A', 'A9', 1, 4)
(5285, 'CSE0630', 'A', 'A9', 2, 1)
(5286, 'CSE0613', 'A', 'A9', 2, 2)
(5287, 'ECE0383', 'A', 'A9', 2, 3)
(5288, 'ECE0177', 'A', 'A9', 2, 4)
(5289, 'CSE0371', 'A', 'A9', 3, 1)
(5290, 'ECE0389', 'A', 'A9', 3, 2)
(5291, 'CSE0498', 'A', 'A9', 3, 3)
(5292, 'CSE0666', 'A', 'A9', 3, 4)
(5293, 'ECE0133', 'A', 'A9', 4, 1)
(5294, 'CSE0451', 'A', 'A9', 4, 2)
(5295, 'ECE0491', 'A', 'A9', 4, 3)
(5296, 'ECE0165', 'A', 'A9', 4, 4)
(5297, 'CSE0199', 'A', 'A9', 5, 1)
(5298, 'CSE0228', 'A', 'A9', 5, 2)
(5299, 'ECE0257', 'A', 'A9', 5, 3)
(5300, 'CSE0083', 'A', 'A9', 5, 4)
(5301, 'CSE0002', 'A', 'A9', 6, 1)
(5302, 'CSE0342', 'A', 'A9', 6, 2)
(5303, 'CSE0665', 'A', 'A9', 6, 3)
(5304, 'CSE0345', 'A', 'A9', 6, 4)
(5305, 'ECE0016', 'A', 'A9', 7, 1)
(5306, 'CSE0359', 'A', 'A9', 7, 2)
(5307, 'CSE0314', 'A', 'A9', 7, 3)
(5308, 'ECE0124', 'A', 'A9', 7, 4)
(5309, 'ECE0334', 'A', 'A9', 8, 1)
(5310, 'CSE0011', 'A', 'A9', 8, 2)
(5311, 'ECE0066', 'A', 'A9', 8, 3)
(5312, 'CSE0592', 'A', 'A9', 8, 4)
(5313, 'ECE0012', 'A', 'A9', 9, 1)
(5314, 'CSE0113', 'A', 'A9', 9, 2)
(5315, 'CSE0378', 'A', 'A9', 9, 3)
(5316, 'ECE0315', 'A', 'A9', 9, 4)
(5317, 'CSE0137', 'A', 'A9', 10, 1)
(5318, 'ECE0107', 'A', 'A9', 10, 2)
(5319, 'CSE0280', 'A', 'A9', 10, 3)
(5320, 'CSE0129', 'A', 'A9', 10, 4)
(5321, 'CSE0077', 'A', 'A10', 1, 1)
(5322, 'CSE0567', 'A', 'A10', 1, 2)
(5323, 'ECE0370', 'A', 'A10', 1, 3)
(5324, 'CSE0601', 'A', 'A10', 1, 4)
(5325, 'ECE0130', 'A', 'A10', 2, 1)
(5326, 'ECE0268', 'A', 'A10', 2, 2)
(5327, 'CSE0310', 'A', 'A10', 2, 3)
(5328, 'ECE0437', 'A', 'A10', 2, 4)
(5329, 'ECE0339', 'A', 'A10', 3, 1)
(5330, 'CSE0611', 'A', 'A10', 3, 2)
(5331, 'CSE0035', 'A', 'A10', 3, 3)
(5332, 'CSE0529', 'A', 'A10', 3, 4)
(5333, 'CSE0240', 'A', 'A10', 4, 1)
(5334, 'CSE0466', 'A', 'A10', 4, 2)
(5335, 'ECE0455', 'A', 'A10', 4, 3)
(5336, 'CSE0430', 'A', 'A10', 4, 4)
(5337, 'ECE0374', 'A', 'A10', 5, 1)
(5338, 'ECE0273', 'A', 'A10', 5, 2)
(5339, 'CSE0690', 'A', 'A10', 5, 3)
(5340, 'ECE0287', 'A', 'A10', 5, 4)
(5341, 'CSE0317', 'A', 'A10', 6, 1)
(5342, 'CSE0118', 'A', 'A10', 6, 2)
(5343, 'ECE0006', 'A', 'A10', 6, 3)
(5344, 'CSE0515', 'A', 'A10', 6, 4)
(5345, 'CSE0386', 'A', 'A10', 7, 1)
(5346, 'CSE0219', 'A', 'A10', 7, 2)
(5347, 'CSE0698', 'A', 'A10', 7, 3)
(5348, 'CSE0090', 'A', 'A10', 7, 4)
(5349, 'CSE0177', 'A', 'A10', 8, 1)
(5350, 'ECE0361', 'A', 'A10', 8, 2)
(5351, 'ECE0088', 'A', 'A10', 8, 3)
(5352, 'CSE0391', 'A', 'A10', 8, 4)
(5353, 'ECE0404', 'A', 'A10', 9, 1)
(5354, 'ECE0496', 'A', 'A10', 9, 2)
(5355, 'CSE0509', 'A', 'A10', 9, 3)
(5356, 'CSE0446', 'A', 'A10', 9, 4)
(5357, 'ECE0487', 'A', 'A10', 10, 1)
(5358, 'ECE0340', 'A', 'A10', 10, 2)
(5359, 'ECE0299', 'A', 'A10', 10, 3)
(5360, 'CSE0397', 'A', 'A10', 10, 4)
(5361, 'ECE0445', 'A', 'A11', 1, 1)
(5362, 'CSE0550', 'A', 'A11', 1, 2)
(5363, 'CSE0575', 'A', 'A11', 1, 3)
(5364, 'CSE0144', 'A', 'A11', 1, 4)
(5365, 'CSE0644', 'A', 'A11', 2, 1)
(5366, 'ECE0369', 'A', 'A11', 2, 2)
(5367, 'CSE0231', 'A', 'A11', 2, 3)
(5368, 'ECE0049', 'A', 'A11', 2, 4)
(5369, 'ECE0390', 'A', 'A11', 3, 1)
(5370, 'ECE0394', 'A', 'A11', 3, 2)
(5371, 'CSE0627', 'A', 'A11', 3, 3)
(5372, 'CSE0045', 'A', 'A11', 3, 4)
(5373, 'CSE0417', 'A', 'A11', 4, 1)
(5374, 'ECE0037', 'A', 'A11', 4, 2)
(5375, 'ECE0463', 'A', 'A11', 4, 3)
(5376, 'ECE0134', 'A', 'A11', 4, 4)
(5377, 'CSE0069', 'A', 'A11', 5, 1)
(5378, 'ECE0089', 'A', 'A11', 5, 2)
(5379, 'CSE0671', 'A', 'A11', 5, 3)
(5380, 'ECE0136', 'A', 'A11', 5, 4)
(5381, 'CSE0162', 'A', 'A11', 6, 1)
(5382, 'ECE0377', 'A', 'A11', 6, 2)
(5383, 'CSE0426', 'A', 'A11', 6, 3)
(5384, 'CSE0539', 'A', 'A11', 6, 4)
(5385, 'CSE0232', 'A', 'A11', 7, 1)
(5386, 'CSE0175', 'A', 'A11', 7, 2)
(5387, 'CSE0527', 'A', 'A11', 7, 3)
(5388, 'ECE0289', 'A', 'A11', 7, 4)
(5389, 'ECE0190', 'A', 'A11', 8, 1)
(5390, 'ECE0087', 'A', 'A11', 8, 2)
(5391, 'ECE0380', 'A', 'A11', 8, 3)
(5392, 'CSE0110', 'A', 'A11', 8, 4)
(5393, 'ECE0308', 'A', 'A11', 9, 1)
(5394, 'CSE0281', 'A', 'A11', 9, 2)
(5395, 'ECE0076', 'A', 'A11', 9, 3)
(5396, 'CSE0511', 'A', 'A11', 9, 4)
(5397, 'CSE0453', 'A', 'A11', 10, 1)
(5398, 'CSE0325', 'A', 'A11', 10, 2)
(5399, 'CSE0454', 'A', 'A11', 10, 3)
(5400, 'CSE0447', 'A', 'A11', 10, 4)
(5401, 'ECE0079', 'A', 'A12', 1, 1)
(5402, 'ECE0073', 'A', 'A12', 1, 2)
(5403, 'ECE0410', 'A', 'A12', 1, 3)
(5404, 'CSE0662', 'A', 'A12', 1, 4)
(5405, 'CSE0339', 'A', 'A12', 2, 1)
(5406, 'CSE0288', 'A', 'A12', 2, 2)
(5407, 'ECE0459', 'A', 'A12', 2, 3)
(5408, 'ECE0391', 'A', 'A12', 2, 4)
(5409, 'CSE0340', 'A', 'A12', 3, 1)
(5410, 'CSE0438', 'A', 'A12', 3, 2)
(5411, 'CSE0341', 'A', 'A12', 3, 3)
(5412, 'ECE0312', 'A', 'A12', 3, 4)
(5413, 'CSE0013', 'A', 'A12', 4, 1)
(5414, 'CSE0663', 'A', 'A12', 4, 2)
(5415, 'CSE0215', 'A', 'A12', 4, 3)
(5416, 'CSE0659', 'A', 'A12', 4, 4)
(5417, 'CSE0624', 'A', 'A12', 5, 1)
(5418, 'CSE0685', 'A', 'A12', 5, 2)
(5419, 'CSE0147', 'A', 'A12', 5, 3)
(5420, 'CSE0044', 'A', 'A12', 5, 4)
(5421, 'CSE0315', 'A', 'A12', 6, 1)
(5422, 'CSE0380', 'A', 'A12', 6, 2)
(5423, 'CSE0419', 'A', 'A12', 6, 3)
(5424, 'ECE0291', 'A', 'A12', 6, 4)
(5425, 'ECE0252', 'A', 'A12', 7, 1)
(5426, 'ECE0442', 'A', 'A12', 7, 2)
(5427, 'CSE0365', 'A', 'A12', 7, 3)
(5428, 'ECE0346', 'A', 'A12', 7, 4)
(5429, 'CSE0300', 'A', 'A12', 8, 1)
(5430, 'ECE0036', 'A', 'A12', 8, 2)
(5431, 'CSE0434', 'A', 'A12', 8, 3)
(5432, 'CSE0174', 'A', 'A12', 8, 4)
(5433, 'ECE0332', 'A', 'A12', 9, 1)
(5434, 'ECE0181', 'A', 'A12', 9, 2)
(5435, 'ECE0305', 'A', 'A12', 9, 3)
(5436, 'ECE0271', 'A', 'A12', 9, 4)
(5437, 'ECE0290', 'A', 'A12', 10, 1)
(5438, 'ECE0143', 'A', 'A12', 10, 2)
(5439, 'ECE0325', 'A', 'A12', 10, 3)
(5440, 'CSE0150', 'A', 'A12', 10, 4)
(5441, 'CSE0640', 'A', 'A13', 1, 1)
(5442, 'CSE0092', 'A', 'A13', 1, 2)
(5443, 'CSE0405', 'A', 'A13', 1, 3)
(5444, 'CSE0329', 'A', 'A13', 1, 4)
(5445, 'CSE0642', 'A', 'A13', 2, 1)
(5446, 'CSE0533', 'A', 'A13', 2, 2)
(5447, 'ECE0213', 'A', 'A13', 2, 3)
(5448, 'ECE0233', 'A', 'A13', 2, 4)
(5449, 'CSE0308', 'A', 'A13', 3, 1)
(5450, 'CSE0676', 'A', 'A13', 3, 2)
(5451, 'CSE0657', 'A', 'A13', 3, 3)
(5452, 'CSE0029', 'A', 'A13', 3, 4)
(5453, 'CSE0089', 'A', 'A13', 4, 1)
(5454, 'ECE0113', 'A', 'A13', 4, 2)
(5455, 'CSE0149', 'A', 'A13', 4, 3)
(5456, 'ECE0091', 'A', 'A13', 4, 4)
(5457, 'CSE0242', 'A', 'A13', 5, 1)
